event_id,observed_at,low_usd
17249641,2026-05-08T22:57:08.778316+00:00,716
17174343,2026-05-08T22:57:08.778316+00:00,294
17164016,2026-05-08T22:57:08.778316+00:00,1977
17650336,2026-05-08T22:57:08.778316+00:00,1374
17650347,2026-05-08T22:57:08.778316+00:00,265
17269674,2026-05-08T22:57:08.778316+00:00,1136
17213262,2026-05-08T22:57:08.778316+00:00,242
17385145,2026-05-08T22:57:08.778316+00:00,369
17196235,2026-05-08T22:57:08.778316+00:00,300
17176207,2026-05-08T22:57:08.778316+00:00,772
17171560,2026-05-08T22:57:08.778316+00:00,265
17307506,2026-05-08T22:57:08.778316+00:00,898
17234771,2026-05-08T22:57:08.778316+00:00,391
17307560,2026-05-08T22:57:08.778316+00:00,165
17650358,2026-05-08T22:57:08.778316+00:00,1412
17248698,2026-05-08T22:57:08.778316+00:00,260
17249643,2026-05-08T22:57:08.778316+00:00,292
17269675,2026-05-08T22:57:08.778316+00:00,909
17213263,2026-05-08T22:57:08.778316+00:00,525
17385146,2026-05-08T22:57:08.778316+00:00,874
17196236,2026-05-08T22:57:08.778316+00:00,189
17176208,2026-05-08T22:57:08.778316+00:00,644
17307564,2026-05-08T22:57:08.778316+00:00,754
17650348,2026-05-08T22:57:08.778316+00:00,593
17385147,2026-05-08T22:57:08.778316+00:00,544
17269676,2026-05-08T22:57:08.778316+00:00,711
17650334,2026-05-08T22:57:08.778316+00:00,1253
17174345,2026-05-08T22:57:08.778316+00:00,547
17248699,2026-05-08T22:57:08.778316+00:00,446
17171561,2026-05-08T22:57:08.778316+00:00,737
17176209,2026-05-08T22:57:08.778316+00:00,872
17234772,2026-05-08T22:57:08.778316+00:00,815
17249644,2026-05-08T22:57:08.778316+00:00,562
17385148,2026-05-08T22:57:08.778316+00:00,617
17164018,2026-05-08T22:57:08.778316+00:00,2021
17307566,2026-05-08T22:57:08.778316+00:00,738
17213264,2026-05-08T22:57:08.778316+00:00,1064
17269677,2026-05-08T22:57:08.778316+00:00,1152
17650335,2026-05-08T22:57:08.778316+00:00,1504
17385149,2026-05-08T22:57:08.778316+00:00,929
17248700,2026-05-08T22:57:08.778316+00:00,711
17174346,2026-05-08T22:57:08.778316+00:00,909
17249646,2026-05-08T22:57:08.778316+00:00,988
17307570,2026-05-08T22:57:08.778316+00:00,1402
17176210,2026-05-08T22:57:08.778316+00:00,1787
17164019,2026-05-08T22:57:08.778316+00:00,2078
17196238,2026-05-08T22:57:08.778316+00:00,1512
17385150,2026-05-08T22:57:08.778316+00:00,2628
17174347,2026-05-08T22:57:08.778316+00:00,2625
17164020,2026-05-08T22:57:08.778316+00:00,1063
17307574,2026-05-08T22:57:08.778316+00:00,10133
17174344,2026-05-08T22:57:08.778316+00:00,208
17307562,2026-05-08T22:57:08.778316+00:00,596
17196237,2026-05-08T22:57:08.778316+00:00,607
17164017,2026-05-08T22:57:08.778316+00:00,3116
17650338,2026-05-08T23:57:10.868782+00:00,2323
17650349,2026-05-08T23:57:10.868782+00:00,379
17234767,2026-05-08T23:57:10.868782+00:00,1261
17176203,2026-05-08T23:57:10.868782+00:00,1191
17171556,2026-05-08T23:57:10.868782+00:00,260
17269669,2026-05-08T23:57:10.868782+00:00,1570
17307864,2026-05-08T23:57:10.868782+00:00,676
17249637,2026-05-08T23:57:10.868782+00:00,329
17307552,2026-05-08T23:57:10.868782+00:00,419
17385143,2026-05-08T23:57:10.868782+00:00,795
