vivid_event_id,observed_at,low_price_usd
25248700,2026-05-08T20:19:43.178923+00:00,674
25248700,2026-05-08T21:57:23.129023+00:00,712
25248700,2026-05-08T22:57:08.778316+00:00,719
25248700,2026-05-08T23:57:10.868782+00:00,722
25174346,2026-05-08T20:19:43.178923+00:00,848
25174346,2026-05-08T21:57:23.129023+00:00,870
25174346,2026-05-08T22:57:08.778316+00:00,884
25174346,2026-05-08T23:57:10.868782+00:00,950
25249646,2026-05-08T20:19:43.178923+00:00,939
25249646,2026-05-08T21:57:23.129023+00:00,945
25249646,2026-05-08T22:57:08.778316+00:00,1031
25249646,2026-05-08T23:57:10.868782+00:00,1038
25307570,2026-05-08T20:19:43.178923+00:00,1465
25307570,2026-05-08T21:57:23.129023+00:00,1463
25307570,2026-05-08T22:57:08.778316+00:00,1394
25307570,2026-05-08T23:57:10.868782+00:00,1413
25176210,2026-05-08T20:19:43.178923+00:00,1703
25176210,2026-05-08T21:57:23.129023+00:00,1704
25176210,2026-05-08T22:57:08.778316+00:00,1848
25176210,2026-05-08T23:57:10.868782+00:00,1882
25164019,2026-05-08T20:19:43.178923+00:00,1906
25164019,2026-05-08T21:57:23.129023+00:00,1922
25164019,2026-05-08T22:57:08.778316+00:00,2070
25164019,2026-05-08T23:57:10.868782+00:00,2036
25196238,2026-05-08T20:19:43.178923+00:00,1420
25196238,2026-05-08T21:57:23.129023+00:00,1465
25196238,2026-05-08T22:57:08.778316+00:00,1564
25196238,2026-05-08T23:57:10.868782+00:00,1595
25385150,2026-05-08T20:19:43.178923+00:00,2644
25385150,2026-05-08T21:57:23.129023+00:00,2755
25385150,2026-05-08T22:57:08.778316+00:00,2668
25385150,2026-05-08T23:57:10.868782+00:00,2711
25174347,2026-05-08T20:19:43.178923+00:00,2508
25174347,2026-05-08T21:57:23.129023+00:00,2527
25174347,2026-05-08T22:57:08.778316+00:00,2678
25174347,2026-05-08T23:57:10.868782+00:00,2613
25164020,2026-05-08T20:19:43.178923+00:00,1031
25164020,2026-05-08T21:57:23.129023+00:00,997
25164020,2026-05-08T22:57:08.778316+00:00,1026
25164020,2026-05-08T23:57:10.868782+00:00,1093
25307574,2026-05-08T20:19:43.178923+00:00,9650
25307574,2026-05-08T21:57:23.129023+00:00,9580
25307574,2026-05-08T22:57:08.778316+00:00,9921
25307574,2026-05-08T23:57:10.868782+00:00,9981
25174344,2026-05-08T20:19:43.178923+00:00,213
25174344,2026-05-08T21:57:23.129023+00:00,201
25174344,2026-05-08T22:57:08.778316+00:00,212
25174344,2026-05-08T23:57:10.868782+00:00,212
25307562,2026-05-08T20:19:43.178923+00:00,592
25307562,2026-05-08T21:57:23.129023+00:00,610
25307562,2026-05-08T22:57:08.778316+00:00,600
25307562,2026-05-08T23:57:10.868782+00:00,575
25196237,2026-05-08T20:19:43.178923+00:00,603
25196237,2026-05-08T21:57:23.129023+00:00,604
25196237,2026-05-08T22:57:08.778316+00:00,615
25196237,2026-05-08T23:57:10.868782+00:00,617
25164017,2026-05-08T20:19:43.178923+00:00,2777
25164017,2026-05-08T21:57:23.129023+00:00,2881
25164017,2026-05-08T22:57:08.778316+00:00,3165
25164017,2026-05-08T23:57:10.868782+00:00,3203
